DIAGNOSIS_CD,DIAGNOSIS_CD_TYPE,n,subCat
254921004,SNOMED,3,
254935002,SNOMED,3,
254963000,SNOMED,3,
25511,ICD9,3,Diseases of other endocrine glands 
2556,ICD9,3,Diseases of other endocrine glands 
25786006,SNOMED,3,
25801,ICD9,3,Diseases of other endocrine glands 
25807006,SNOMED,3,
25899002,SNOMED,3,
25950,ICD9,3,Diseases of other endocrine glands 
2618002,SNOMED,3,
262596005,SNOMED,3,
262979003,SNOMED,3,
262992000,SNOMED,3,
263128001,SNOMED,3,
263129009,SNOMED,3,
263133002,SNOMED,3,
263164000,SNOMED,3,
263196008,SNOMED,3,
263209002,SNOMED,3,
26322001,SNOMED,3,
2.64E+12,SNOMED,3,
264448006,SNOMED,3,
264516005,SNOMED,3,
266468003,SNOMED,3,
266578003,SNOMED,3,
266712008,SNOMED,3,
26690008,SNOMED,3,
267023007,SNOMED,3,
267204006,SNOMED,3,
267950000,SNOMED,3,
267971005,SNOMED,3,
267974002,SNOMED,3,
268637002,SNOMED,3,
268640002,SNOMED,3,
268672004,SNOMED,3,
268929007,SNOMED,3,
269064009,SNOMED,3,
269080004,SNOMED,3,
269134004,SNOMED,3,
269137006,SNOMED,3,
269170001,SNOMED,3,
269772004,SNOMED,3,
27034006,SNOMED,3,
270524007,SNOMED,3,
270903007,SNOMED,3,
271587009,SNOMED,3,
271721006,SNOMED,3,
271741001,SNOMED,3,
271801002,SNOMED,3,
271863002,SNOMED,3,
27202,ICD9,3,Other metabolic and immunity disorders 
272054000,SNOMED,3,
274141009,SNOMED,3,
274160002,SNOMED,3,
274203005,SNOMED,3,
274287009,SNOMED,3,
274536007,SNOMED,3,
274657005,SNOMED,3,
274677003,SNOMED,3,
274744005,SNOMED,3,
27477003,SNOMED,3,
274950005,SNOMED,3,
274951009,SNOMED,3,
275320004,SNOMED,3,
275393007,SNOMED,3,
27544004,SNOMED,3,
275441009,SNOMED,3,
275448003,SNOMED,3,
275454002,SNOMED,3,
275498002,SNOMED,3,
275547005,SNOMED,3,
275549008,SNOMED,3,
275976000,SNOMED,3,
275981009,SNOMED,3,
27624003,SNOMED,3,
27635008,SNOMED,3,
276556006,SNOMED,3,
276891009,SNOMED,3,
27701,ICD9,3,Other metabolic and immunity disorders 
277473004,SNOMED,3,
278054005,SNOMED,3,
278650002,SNOMED,3,
278968001,SNOMED,3,
279037009,SNOMED,3,
279063004,SNOMED,3,
27909,ICD9,3,Other metabolic and immunity disorders 
2791,ICD9,3,Other metabolic and immunity disorders 
27916005,SNOMED,3,
28030000,SNOMED,3,
281022002,SNOMED,3,
281610001,SNOMED,3,
282026002,SNOMED,3,
2.82E+13,SNOMED,3,
282749008,SNOMED,3,
2828,ICD9,3,Anemia 
283051009,SNOMED,3,
283057008,SNOMED,3,
283204001,SNOMED,3,
283334008,SNOMED,3,
283369005,SNOMED,3,
283372003,SNOMED,3,
283373008,SNOMED,3,
283374002,SNOMED,3,
283757004,SNOMED,3,
283772000,SNOMED,3,
28394000,SNOMED,3,
284591009,SNOMED,3,
2.85E+14,SNOMED,3,
285305004,SNOMED,3,
285309005,SNOMED,3,
285391000,SNOMED,3,
28560003,SNOMED,3,
2.86E+14,SNOMED,3,
2.86E+14,SNOMED,3,
28626004,SNOMED,3,
286644009,SNOMED,3,
28741,ICD9,3,Coagulation/hemorrhagic 
289260002,SNOMED,3,
289521003,SNOMED,3,
289680005,SNOMED,3,
289683007,SNOMED,3,
290074005,SNOMED,3,
2.90E+14,SNOMED,3,
2904007,SNOMED,3,
2.92E+14,SNOMED,3,
2924,ICD9,3,Psychosis 
2.93E+14,SNOMED,3,
293104008,SNOMED,3,
29384001,SNOMED,3,
29484002,SNOMED,3,
295174006,SNOMED,3,
29533,ICD9,3,Psychosis 
29544,ICD9,3,Psychosis 
29584,ICD9,3,Psychosis 
2959,ICD9,3,Psychosis 
29596007,SNOMED,3,
29601,ICD9,3,Psychosis 
296053004,SNOMED,3,
2963,ICD9,3,Psychosis 
297130008,SNOMED,3,
297193007,SNOMED,3,
2981207015,SNOMED,3,
298238005,SNOMED,3,
298349001,SNOMED,3,
299041004,SNOMED,3,
299112005,SNOMED,3,
299628004,SNOMED,3,
299704007,SNOMED,3,
29981,ICD9,3,Psychosis 
299990002,SNOMED,3,
30013,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
300130009,SNOMED,3,
300286002,SNOMED,3,
300457003,SNOMED,3,
300913006,SNOMED,3,
300921000,SNOMED,3,
300933005,SNOMED,3,
300947009,SNOMED,3,
300999006,SNOMED,3,
30111,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
3.02E+14,SNOMED,3,
301756000,SNOMED,3,
302073009,SNOMED,3,
302222008,SNOMED,3,
302231008,SNOMED,3,
302497006,SNOMED,3,
30281,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
302835009,SNOMED,3,
302969009,SNOMED,3,
303089000,SNOMED,3,
303294005,SNOMED,3,
3039,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
30410032,OTHER,3,
30412,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
3042,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
304252001,SNOMED,3,
30432,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
304594002,SNOMED,3,
30531,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
30556007,SNOMED,3,
30581,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
30605009,SNOMED,3,
30654002,SNOMED,3,
30667004,SNOMED,3,
307138004,SNOMED,3,
30767006,SNOMED,3,
307674009,SNOMED,3,
308067002,SNOMED,3,
3.08E+14,SNOMED,3,
30811009,SNOMED,3,
308277006,SNOMED,3,
308685008,SNOMED,3,
308742005,SNOMED,3,
308926009,SNOMED,3,
309084001,SNOMED,3,
309089006,SNOMED,3,
30922,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
309243008,SNOMED,3,
309246000,SNOMED,3,
309519009,SNOMED,3,
309525008,SNOMED,3,
309531006,SNOMED,3,
309532004,SNOMED,3,
309587003,SNOMED,3,
309735004,SNOMED,3,
309773000,SNOMED,3,
3.10E+13,SNOMED,3,
310254004,SNOMED,3,
310885000,SNOMED,3,
311897005,SNOMED,3,
31203,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
31233,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
312609001,SNOMED,3,
312974005,SNOMED,3,
312991009,SNOMED,3,
313102001,SNOMED,3,
313165001,SNOMED,3,
313215004,SNOMED,3,
313216003,SNOMED,3,
313262006,SNOMED,3,
313307000,SNOMED,3,
313425006,SNOMED,3,
31399009,SNOMED,3,
3140,ICD9,3,"Neurotic disorders, personality disorders, and other nonpsychotic mental disorders "
314072006,SNOMED,3,
31487001,SNOMED,3,
314944001,SNOMED,3,
314956000,SNOMED,3,
315225007,SNOMED,3,
315251009,SNOMED,3,
31642005,SNOMED,3,
3.17E+14,SNOMED,3,
31704005,SNOMED,3,
31829008,SNOMED,3,
31848007,SNOMED,3,
31871009,SNOMED,3,
3208,ICD9,3,Inflammatory diseases of the central nervous system 
3211,ICD9,3,Inflammatory diseases of the central nervous system 
32341,ICD9,3,Inflammatory diseases of the central nervous system 
32362,ICD9,3,Inflammatory diseases of the central nervous system 
32390006,SNOMED,3,
3245,ICD9,3,Inflammatory diseases of the central nervous system 
32709003,SNOMED,3,
3271,ICD9,3,Inflammatory diseases of the central nervous system 
32749,ICD9,3,Inflammatory diseases of the central nervous system 
3289004,SNOMED,3,
3291007,SNOMED,3,
329286015,SNOMED,3,
3297,ICD9,3,Inflammatory diseases of the central nervous system 
3301,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
33042004,SNOMED,3,
33173003,SNOMED,3,
33209009,SNOMED,3,
332982000,SNOMED,3,
33393,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
3340,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
33523,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
3359,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
3365,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
3367,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
33845003,SNOMED,3,
3386,ICD9,3,Hereditary and Degenerative diseases of the central nervous system 
3.39E+14,SNOMED,3,
33967003,SNOMED,3,
34063005,SNOMED,3,
3420,ICD9,3,Other disorders of the central nervous system 
3441005,SNOMED,3,
3.46E+14,SNOMED,3,
34660,ICD9,3,Other disorders of the central nervous system 
3470,ICD9,3,Other disorders of the central nervous system 
3494,ICD9,3,Other disorders of the central nervous system 
3520,ICD9,3,Disorders of the peripheral nervous system 
35233000,SNOMED,3,
35363006,SNOMED,3,
35400008,SNOMED,3,
35455006,SNOMED,3,
3578,ICD9,3,Disorders of the peripheral nervous system 
3580,ICD9,3,Disorders of the peripheral nervous system 
3584,ICD9,3,Disorders of the peripheral nervous system 
35917007,SNOMED,3,
359554008,SNOMED,3,
359557001,SNOMED,3,
3601,ICD9,3,Disorders of the eye and adnexa 
36033,ICD9,3,Disorders of the eye and adnexa 
36044,ICD9,3,Disorders of the eye and adnexa 
360549009,SNOMED,3,
36112013,SNOMED,3,
36119,ICD9,3,Disorders of the eye and adnexa 
36124002,SNOMED,3,
36171008,SNOMED,3,
36259009,SNOMED,3,
36285,ICD9,3,Disorders of the eye and adnexa 
36322,ICD9,3,Disorders of the eye and adnexa 
363349007,SNOMED,3,
36335,ICD9,3,Disorders of the eye and adnexa 
363410008,SNOMED,3,
363510005,SNOMED,3,
3639,ICD9,3,Disorders of the eye and adnexa 
36459,ICD9,3,Disorders of the eye and adnexa 
36473,ICD9,3,Disorders of the eye and adnexa 
36506,ICD9,3,Disorders of the eye and adnexa 
36561,ICD9,3,Disorders of the eye and adnexa 
365801005,SNOMED,3,
365856005,SNOMED,3,
365857001,SNOMED,3,
36621,ICD9,3,Disorders of the eye and adnexa 
36637003,SNOMED,3,
36644,ICD9,3,Disorders of the eye and adnexa 
36651,ICD9,3,Disorders of the eye and adnexa 
367137004,SNOMED,3,
367403001,SNOMED,3,
3.68E+14,SNOMED,3,
36832,ICD9,3,Disorders of the eye and adnexa 
36854,ICD9,3,Disorders of the eye and adnexa 
3.69E+14,SNOMED,3,
36901,ICD9,3,Disorders of the eye and adnexa 
36966,ICD9,3,Disorders of the eye and adnexa 
36971,ICD9,3,Disorders of the eye and adnexa 
370246004,SNOMED,3,
37044,ICD9,3,Disorders of the eye and adnexa 
37055,ICD9,3,Disorders of the eye and adnexa 
371050006,SNOMED,3,
37112,ICD9,3,Disorders of the eye and adnexa 
371436007,SNOMED,3,
37148,ICD9,3,Disorders of the eye and adnexa 
37156001,SNOMED,3,
371627004,SNOMED,3,
37172,ICD9,3,Disorders of the eye and adnexa 
372020000,SNOMED,3,
372048000,SNOMED,3,
372109003,SNOMED,3,
37223007,SNOMED,3,
372292006,SNOMED,3,
37231002,SNOMED,3,
372477008,SNOMED,3,
37263,ICD9,3,Disorders of the eye and adnexa 
3744001,SNOMED,3,
37450,ICD9,3,Disorders of the eye and adnexa 
3745000,SNOMED,3,
37485,ICD9,3,Disorders of the eye and adnexa 
37512,ICD9,3,Disorders of the eye and adnexa 
37513,ICD9,3,Disorders of the eye and adnexa 
37603,ICD9,3,Disorders of the eye and adnexa 
37712,ICD9,3,Disorders of the eye and adnexa 
37722,ICD9,3,Disorders of the eye and adnexa 
37885,ICD9,3,Disorders of the eye and adnexa 
37992001,SNOMED,3,
38053,ICD9,3,Diseases of the ear and mastoid process 
38086007,SNOMED,3,
3811,ICD9,3,Diseases of the ear and mastoid process 
38320,ICD9,3,Diseases of the ear and mastoid process 
38331,ICD9,3,Diseases of the ear and mastoid process 
38342005,SNOMED,3,
38365000,SNOMED,3,
38511,ICD9,3,Diseases of the ear and mastoid process 
38513,ICD9,3,Diseases of the ear and mastoid process 
386034005,SNOMED,3,
386211005,SNOMED,3,
38631,ICD9,3,Diseases of the ear and mastoid process 
38640,ICD9,3,Diseases of the ear and mastoid process 
38658,ICD9,3,Diseases of the ear and mastoid process 
386689009,SNOMED,3,
38727009,SNOMED,3,
389098007,SNOMED,3,
3891,ICD9,3,Diseases of the ear and mastoid process 
3910,ICD9,3,Acute rheumatic fever 
39104002,SNOMED,3,
39402007,SNOMED,3,
394699000,SNOMED,3,
394924000,SNOMED,3,
395218007,SNOMED,3,
395321006,SNOMED,3,
397758007,SNOMED,3,
397774002,SNOMED,3,
397828008,SNOMED,3,
398021003,SNOMED,3,
398033008,SNOMED,3,
398696001,SNOMED,3,
398979000,SNOMED,3,
399054005,SNOMED,3,
399291005,SNOMED,3,
399357009,SNOMED,3,
399432003,SNOMED,3,
399967006,SNOMED,3,
399981008,SNOMED,3,
400012003,SNOMED,3,
400159008,SNOMED,3,
40172005,SNOMED,3,
40192,ICD9,3,Hypertensive diseases
402233005,SNOMED,3,
402387002,SNOMED,3,
402509003,SNOMED,3,
402522006,SNOMED,3,
402904001,SNOMED,3,
403194002,SNOMED,3,
403267005,SNOMED,3,
403583006,SNOMED,3,
403676009,SNOMED,3,
403859007,SNOMED,3,
404189009,SNOMED,3,
40421008,SNOMED,3,
40468003,SNOMED,3,
404904002,SNOMED,3,
405720007,SNOMED,3,
405773007,SNOMED,3,
406203001,SNOMED,3,
406575008,SNOMED,3,
40780007,SNOMED,3,
408645001,SNOMED,3,
409089005,SNOMED,3,
409623005,SNOMED,3,
409631000,SNOMED,3,
409656006,SNOMED,3,
409668002,SNOMED,3,
409702008,SNOMED,3,
409800005,SNOMED,3,
409801009,SNOMED,3,
4103001,SNOMED,3,
410385005,SNOMED,3,
410567004,SNOMED,3,
410813000,SNOMED,3,
413102000,SNOMED,3,
41368006,SNOMED,3,
413808003,SNOMED,3,
414027002,SNOMED,3,
414086009,SNOMED,3,
414850009,SNOMED,3,
415080007,SNOMED,3,
4.15E+12,SNOMED,3,
415297005,SNOMED,3,
415690000,SNOMED,3,
417074000,SNOMED,3,
41729002,SNOMED,3,
417425009,SNOMED,3,
417525006,SNOMED,3,
417646006,SNOMED,3,
418633004,SNOMED,3,
418799008,SNOMED,3,
419049005,SNOMED,3,
41975002,SNOMED,3,
419838000,SNOMED,3,
42030000,SNOMED,3,
420597008,SNOMED,3,
420715001,SNOMED,3,
421262002,SNOMED,3,
421293001,SNOMED,3,
421605005,SNOMED,3,
42188001,SNOMED,3,
422106007,SNOMED,3,
422290000,SNOMED,3,
422411000,SNOMED,3,
42251007,SNOMED,3,
42284007,SNOMED,3,
423051001,SNOMED,3,
423099001,SNOMED,3,
423284006,SNOMED,3,
423341008,SNOMED,3,
423391007,SNOMED,3,
424568000,SNOMED,3,
425075004,SNOMED,3,
425473004,SNOMED,3,
426032000,SNOMED,3,
426373005,SNOMED,3,
426396005,SNOMED,3,
426762000,SNOMED,3,
42697001,SNOMED,3,
427702008,SNOMED,3,
427772009,SNOMED,3,
427776007,SNOMED,3,
427794001,SNOMED,3,
427964002,SNOMED,3,
428046009,SNOMED,3,
4.28E+14,SNOMED,3,
428097001,SNOMED,3,
428102003,SNOMED,3,
428116008,SNOMED,3,
4282,ICD9,3,Other forms of heart disease 
428250009,SNOMED,3,
428535004,SNOMED,3,
428615006,SNOMED,3,
428661006,SNOMED,3,
428839004,SNOMED,3,
428848009,SNOMED,3,
428866004,SNOMED,3,
428987008,SNOMED,3,
429084005,SNOMED,3,
429372004,SNOMED,3,
429439000,SNOMED,3,
429559004,SNOMED,3,
429564000,SNOMED,3,
429589006,SNOMED,3,
429975007,SNOMED,3,
430099007,SNOMED,3,
4306003,SNOMED,3,
430711004,SNOMED,3,
430909002,SNOMED,3,
431256002,SNOMED,3,
431331006,SNOMED,3,
431416001,SNOMED,3,
4.32E+14,SNOMED,3,
432,ICD9,3,Cerebrovascular disease 
432525007,SNOMED,3,
432863009,SNOMED,3,
4.34E+14,SNOMED,3,
4.36E+14,SNOMED,3,
43814,ICD9,3,Cerebrovascular disease 
43830,ICD9,3,Cerebrovascular disease 
43851,ICD9,3,Cerebrovascular disease 
439469002,SNOMED,3,
439631004,SNOMED,3,
44001008,SNOMED,3,
4.40E+14,SNOMED,3,
440544005,SNOMED,3,
441482006,SNOMED,3,
441493008,SNOMED,3,
441511006,SNOMED,3,
441628001,SNOMED,3,
441781003,SNOMED,3,
441892008,SNOMED,3,
441957004,SNOMED,3,
441991000,SNOMED,3,
442025000,SNOMED,3,
442120007,SNOMED,3,
442295002,SNOMED,3,
442421004,SNOMED,3,
44247006,SNOMED,3,
442487003,SNOMED,3,
442676003,SNOMED,3,
442728009,SNOMED,3,
442754001,SNOMED,3,
44402007,SNOMED,3,
444433005,SNOMED,3,
444486008,SNOMED,3,
444926003,SNOMED,3,
445053006,SNOMED,3,
445170001,SNOMED,3,
445333001,SNOMED,3,
445355009,SNOMED,3,
445646001,SNOMED,3,
446352002,SNOMED,3,
446896007,SNOMED,3,
44695005,SNOMED,3,
447782002,SNOMED,3,
44782008,SNOMED,3,
448265002,SNOMED,3,
4.49E+14,SNOMED,3,
448838000,SNOMED,3,
448928006,SNOMED,3,
448930008,SNOMED,3,
449239005,SNOMED,3,
449702005,SNOMED,3,
450316000,SNOMED,3,
4.51E+14,SNOMED,3,
4.53E+14,SNOMED,3,
45281005,SNOMED,3,
45373,ICD9,3,"Diseases of veins and lymphatics, and other diseases of circulatory system"
4554005,SNOMED,3,
4568003,SNOMED,3,
46014006,SNOMED,3,
46202007,SNOMED,3,
46230007,SNOMED,3,
46420000,SNOMED,3,
46764007,SNOMED,3,
46775006,SNOMED,3,
46871008,SNOMED,3,
46960006,SNOMED,3,
473041004,SNOMED,3,
473055007,SNOMED,3,
473108004,SNOMED,3,
473109007,SNOMED,3,
47367009,SNOMED,3,
4742,ICD9,3,Other diseases of the upper respiratory tract 
47704002,SNOMED,3,
48281,ICD9,3,Pneumonia and influenza 
48475001,SNOMED,3,
48522003,SNOMED,3,
48589009,SNOMED,3,
4880,ICD9,3,Pneumonia and influenza 
4.92E+13,SNOMED,3,
49631001,SNOMED,3,
49723003,SNOMED,3,
4973001,SNOMED,3,
4981000,SNOMED,3,
49872002,SNOMED,3,
50063009,SNOMED,3,
50448004,SNOMED,3,
5062,ICD9,3,Pneumoconioses and other lung diseases due to external agents 
50620007,SNOMED,3,
5064,ICD9,3,Pneumoconioses and other lung diseases due to external agents 
5071,ICD9,3,Pneumoconioses and other lung diseases due to external agents 
50829006,SNOMED,3,
5089007,SNOMED,3,
516,ICD9,3,Other diseases of the respiratory system 
5191,ICD9,3,Other diseases of the respiratory system 
52012001,SNOMED,3,
5203,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
5205,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
5216,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52231000,SNOMED,3,
5229,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
524,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52421,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52422,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52452,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52453,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52475004,SNOMED,3,
52482,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52489,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52551,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52637005,SNOMED,3,
5270,ICD9,3,"Diseases of oral cavity, salivary glands, and jaws "
52845002,SNOMED,3,
53083,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
53087,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
5.31E+11,SNOMED,3,
53131,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
53156005,SNOMED,3,
53160,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
5319,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
53191,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
53316003,SNOMED,3,
53406005,SNOMED,3,
53410,ICD9,3,"Diseases of esophagus, stomach, and duodenum"
53758003,SNOMED,3,
53770004,SNOMED,3,
53889007,SNOMED,3,
54097007,SNOMED,3,
54272002,SNOMED,3,
54781007,SNOMED,3,
55067,ICD9,3,Hernia of abdominal cavity 
55130001,SNOMED,3,
55355000,SNOMED,3,
55525008,SNOMED,3,
55804002,SNOMED,3,
56202,ICD9,3,Other diseases of intestines and peritoneum 
563,ICD9,3,Other diseases of intestines and peritoneum 
56786000,SNOMED,3,
56987,ICD9,3,Other diseases of intestines and peritoneum 
5763,ICD9,3,Other diseases of digestive system 
5810,ICD9,3,"Nephritis, nephrotic syndrome, and nephrosis "
5847,ICD9,3,"Nephritis, nephrotic syndrome, and nephrosis "
58720004,SNOMED,3,
58797008,SNOMED,3,
5888003,SNOMED,3,
58964002,SNOMED,3,
58972000,SNOMED,3,
59021001,SNOMED,3,
59172008,SNOMED,3,
59770006,SNOMED,3,
59962009,SNOMED,3,
6001,ICD9,3,Diseases of male genital organs 
6009,ICD9,3,Diseases of male genital organs 
60198007,SNOMED,3,
602,ICD9,3,Diseases of male genital organs 
60298004,SNOMED,3,
60331006,SNOMED,3,
60881,ICD9,3,Diseases of male genital organs 
608837004,SNOMED,3,
609133009,SNOMED,3,
609339001,SNOMED,3,
613,ICD9,3,Disorders Of Breast 
6.15E+13,SNOMED,3,
61585002,SNOMED,3,
61651,ICD9,3,Inflammatory Diseases Of Female Pelvic Organs 
6199,ICD9,3,Other disorders of female genital tract 
6206,ICD9,3,Other disorders of female genital tract 
6213,ICD9,3,Other disorders of female genital tract 
62195001,SNOMED,3,
62452009,SNOMED,3,
62484002,SNOMED,3,
62537000,SNOMED,3,
62548007,SNOMED,3,
62909004,SNOMED,3,
62917007,SNOMED,3,
62994001,SNOMED,3,
63110000,SNOMED,3,
63381,ICD9,3,Ectopic and molar pregnancy 
63402,ICD9,3,Other pregnancy with abortive outcome 
63581,ICD9,3,Other pregnancy with abortive outcome 
63710,ICD9,3,Other pregnancy with abortive outcome 
6373,ICD9,3,Other pregnancy with abortive outcome 
63771,ICD9,3,Other pregnancy with abortive outcome 
64156001,SNOMED,3,
64222,ICD9,3,Complications mainly related to pregnancy 
64301,ICD9,3,Complications mainly related to pregnancy 
64305001,SNOMED,3,
64380,ICD9,3,Complications mainly related to pregnancy 
645,ICD9,3,Complications mainly related to pregnancy 
64612,ICD9,3,Complications mainly related to pregnancy 
64782,ICD9,3,Complications mainly related to pregnancy 
64862,ICD9,3,Complications mainly related to pregnancy 
64925008,SNOMED,3,
64934,ICD9,3,Complications mainly related to pregnancy 
6497000,SNOMED,3,
65035007,SNOMED,3,
65171,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65300,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65333,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65340007,SNOMED,3,
654,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65412,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65444,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65531,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65691,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65901,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
65931,ICD9,3,"Normal delivery, and other indications for care in pregnancy, labor, and delivery "
66303,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66391,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66444,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66511,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66571,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66590,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66604,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66889002,SNOMED,3,
66921,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66922,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66944,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66961,ICD9,3,Complications occurring mainly in the course of labor and delivery 
6697,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66990,ICD9,3,Complications occurring mainly in the course of labor and delivery 
66993,ICD9,3,Complications occurring mainly in the course of labor and delivery 
67024,ICD9,3,Complications of the puerperium 
67082,ICD9,3,Complications of the puerperium 
67111,ICD9,3,Complications of the puerperium 
6712,ICD9,3,Complications of the puerperium 
67193,ICD9,3,Complications of the puerperium 
67359005,SNOMED,3,
67400,ICD9,3,Complications of the puerperium 
67480,ICD9,3,Complications of the puerperium 
67490,ICD9,3,Complications of the puerperium 
67510,ICD9,3,Complications of the puerperium 
67513,ICD9,3,Complications of the puerperium 
67604,ICD9,3,Complications of the puerperium 
67667007,SNOMED,3,
6.77E+13,SNOMED,3,
67805000,SNOMED,3,
67832005,SNOMED,3,
68052005,SNOMED,3,
6836001,SNOMED,3,
68368005,SNOMED,3,
68478007,SNOMED,3,
68609,ICD9,3,Infections of the skin and subcutaneous tissue 
687,ICD9,3,Infections of the skin and subcutaneous tissue 
68701004,SNOMED,3,
68811000,SNOMED,3,
69071001,SNOMED,3,
69124005,SNOMED,3,
6929003,SNOMED,3,
6943,ICD9,3,Other inflammatory conditions of skin and subcutaneous tissue 
69512,ICD9,3,Other inflammatory conditions of skin and subcutaneous tissue 
69758005,SNOMED,3,
698809005,SNOMED,3,
69914001,SNOMED,3,
699262001,SNOMED,3,
700094005,SNOMED,3,
700236001,SNOMED,3,
700368007,SNOMED,3,
70042006,SNOMED,3,
70156005,SNOMED,3,
70218004,SNOMED,3,
702636002,SNOMED,3,
702709008,SNOMED,3,
702975009,SNOMED,3,
702979003,SNOMED,3,
703360004,SNOMED,3,
703396000,SNOMED,3,
703630003,SNOMED,3,
70522,ICD9,3,Other diseases of the skin and subcutaneous tissue 
70582,ICD9,3,Other diseases of the skin and subcutaneous tissue 
707088000,SNOMED,3,
707147002,SNOMED,3,
707446004,SNOMED,3,
707511009,SNOMED,3,
708126004,SNOMED,3,
7.09E+13,SNOMED,3,
709109004,SNOMED,3,
7105,ICD9,3,Arthropathies and related disorders 
710817009,SNOMED,3,
71120,ICD9,3,Arthropathies and related disorders 
711263002,SNOMED,3,
71130,ICD9,3,Arthropathies and related disorders 
71141,ICD9,3,Arthropathies and related disorders 
71192,ICD9,3,Arthropathies and related disorders 
71197,ICD9,3,Arthropathies and related disorders 
71221,ICD9,3,Arthropathies and related disorders 
7137,ICD9,3,Arthropathies and related disorders 
713914004,SNOMED,3,
71419002,SNOMED,3,
715068009,SNOMED,3,
71623,ICD9,3,Arthropathies and related disorders 
71627,ICD9,3,Arthropathies and related disorders 
71641,ICD9,3,Arthropathies and related disorders 
71645,ICD9,3,Arthropathies and related disorders 
71649,ICD9,3,Arthropathies and related disorders 
71663,ICD9,3,Arthropathies and related disorders 
71685,ICD9,3,Arthropathies and related disorders 
71802,ICD9,3,Arthropathies and related disorders 
71821,ICD9,3,Arthropathies and related disorders 
71832,ICD9,3,Arthropathies and related disorders 
71838,ICD9,3,Arthropathies and related disorders 
718403007,SNOMED,3,
718539004,SNOMED,3,
71875,ICD9,3,Arthropathies and related disorders 
719,ICD9,3,Arthropathies and related disorders 
719328007,SNOMED,3,
719329004,SNOMED,3,
71937,ICD9,3,Arthropathies and related disorders 
719593009,SNOMED,3,
720835004,SNOMED,3,
